/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Fri Jan 14 13:27:46 CET 2022

command file:     verblex_perfect.q
output file:      verblex_perfect.out

Lexicon:  
*/

/*  ~A~  */
bimurnen 1: [1 VBN] 
binumen 2: [2 VBN] 
biraft 1: [1 VBN] 
bireued 1: [1 VBN] 
bireused 1: [1 VBN] 
biryed 1: [1 VBN] 
biseged 1: [1 VBN] 
bisegede 4: [4 VBN] 
biset 3: [3 VBN] 
bisocht 1: [1 VBN] 
bitaht 1: [1 VBN] 
bitaken 1: [1 VBN] 
biteuelit 1: [1 VBN] 
bitoch+gen 1: [1 VBN] 
bitraiede 2: [2 VBN] 
bitrummet 1: [1 VBN] 
biwreyed 1: [1 VBN] 
blakyd 1: [1 VBN] 
bled 1: [1 VBN] 
blessid 1: [1 VBN] 
blessyd 1: [1 VBN] 
blisced 1: [1 VBN] 
blissed 1: [1 VBN] 
blowen 1: [1 VBN] 
blowyn 1: [1 VBN] 
blyndid 1: [1 VBN] 
bo+gt 1: [1 VBN] 
boden 2: [2 VBN] 
boght 3: [3 VBN] 
boghte 2: [2 VBN] 
boht 1: [1 VBN] 
bond 1: [1 VBN] 
bonedd 2: [2 VBN] 
bore 2: [2 VBN] 
born 10: [10 VBN] 
borne 3: [3 VBN] 
borun 1: [1 VBN] 
borwyd 2: [2 VBN] 
boryn 1: [1 VBN] 
bou+gt 1: [1 VBN] 
bought 1: [1 VBN] 
bouht 1: [1 VBN] 
bounde 1: [1 VBN] 
bounden 1: [1 VBN] 
boute 1: [1 VBN] 
bowede 1: [1 VBN] 
bowht 1: [1 VBN] 
bowndyn 1: [1 VBN] 
bowt 3: [3 VBN] 
bowte 1: [1 VBN] 
brent 5: [5 VBN] 
brente 1: [1 VBN] 
broght 4: [4 VBN] 
brohht Brohht 2: [2 VBN] 
broht 3: [3 VBN] 
broke 3: [3 VBN] 
broken 3: [3 VBN] 
brokin 1: [1 VBN] 
brokyn 4: [4 VBN] 
brostyn 2: [2 VBN] 
brou+gt 11: [11 VBN] 
brought 11: [11 VBN] 
broughte 2: [2 VBN] 
brout 1: [1 VBN] 
broute 1: [1 VBN] 
browt 8: [8 VBN] 
browte 1: [1 VBN] 
bund 1: [1 VBN] 
bune 1: [1 VBN] 
buregen 1: [1 VBN] 
buryde 1: [1 VBN] 
buryet 2: [2 VBN] 
bycome 2: [2 VBN] 
byddyn 1: [1 VBN] 
byfalle 3: [3 VBN] 
byfallen 1: [1 VBN] 
bygan 1: [1 VBN] 
bygete 1: [1 VBN] 
bygonne 1: [1 VBN] 
bygonnen 1: [1 VBN] 
byholden 1: [1 VBN] 
byhote 2: [2 VBN] 
byhyght 1: [1 VBN] 
bylayn 2: [2 VBN] 
bylded 1: [1 VBN] 
byldyd 1: [1 VBN] 
bynome 1: [1 VBN] 
bysyede 1: [1 VBN] 
byten 3: [3 VBN] 
bythought 1: [1 VBN] 
/*  ~C~  */
caght 1: [1 VBN] 
calde 1: [1 VBN] 
called 1: [1 VBN] 
callede 1: [1 VBN] 
cam 1: [1 VBN] 
cast 6: [6 VBN] 
caste 4: [4 VBN] 
casten 1: [1 VBN] 
caught 1: [1 VBN] 
caused 3: [3 VBN] 
causyd 3: [3 VBN] 
caute 1: [1 VBN] 
cawsyd 2: [2 VBN] 
ceessid 2: [2 VBN] 
chaced 1: [1 VBN] 
changyd 1: [1 VBN] 
chargyd 2: [2 VBN] 
chased 1: [1 VBN] 
chassed 1: [1 VBN] 
chastised 1: [1 VBN] 
chastysed 2: [2 VBN] 
chaunged 1: [1 VBN] 
chedyn 1: [1 VBN] 
cheryd 1: [1 VBN] 
childed 1: [1 VBN] 
chose 7: [7 VBN] 
chosen 8: [8 VBN] 
choson 1: [1 VBN] 
clensed 1: [1 VBN] 
cleped 9: [9 VBN] 
clepid 5: [5 VBN] 
clypped 1: [1 VBN] 
com 29: [29 VBN] 
com-mandede 1: [1 VBN] 
comaunded 2: [2 VBN] 
comaundid 3: [3 VBN] 
comawndyd 2: [2 VBN] 
come 58: [58 VBN] 
comen 89: [89 VBN] 
comensid 1: [1 VBN] 
comfortyd 1: [1 VBN] 
commanded 1: [1 VBN] 
commandede 1: [1 VBN] 
commen 4: [4 VBN] 
commyn 1: [1 VBN] 
comon 1: [1 VBN] 
companyed 1: [1 VBN] 
compased 1: [1 VBN] 
compassede 1: [1 VBN] 
complayned 1: [1 VBN] 
complet 1: [1 VBN] 
comprehended 1: [1 VBN] 
comprehendid 2: [2 VBN] 
comun 7: [7 VBN] 
comyn 23: [23 VBN] 
con-querede 1: [1 VBN] 
conceyued 3: [3 VBN] 
conceyuet 1: [1 VBN] 
conceyved 2: [2 VBN] 
concluded 4: [4 VBN] 
condempned 1: [1 VBN] 
confermed 2: [2 VBN] 
confermyd 1: [1 VBN] 
conforted 1: [1 VBN] 
confortyd 1: [1 VBN] 
confounded 1: [1 VBN] 
conjoured 1: [1 VBN] 
conjoyned 1: [1 VBN] 
conquered 3: [3 VBN] 
conquerede 7: [7 VBN] 
conqueryd 1: [1 VBN] 
conseilled 1: [1 VBN] 
conselyd 2: [2 VBN] 
consented 2: [2 VBN] 
consentede 1: [1 VBN] 
consentyd 1: [1 VBN] 
conseyued 1: [1 VBN] 
conspired 3: [3 VBN] 
conspirid 2: [2 VBN] 
conspyrid 1: [1 VBN] 
consumed 1: [1 VBN] 
continued 1: [1 VBN] 
contynowed 1: [1 VBN] 
contynued 1: [1 VBN] 
copijd 1: [1 VBN] 
corrupt 1: [1 VBN] 
cosen 1: [1 VBN] 
couaited 1: [1 VBN] 
couered 1: [1 VBN] 
couetid 1: [1 VBN] 
coueyted 1: [1 VBN] 
coupled 1: [1 VBN] 
cownseld 1: [1 VBN] 
creat 2: [2 VBN] 
cried 1: [1 VBN] 
cropyn 1: [1 VBN] 
crouned 1: [1 VBN] 
crowned 2: [2 VBN] 
crucyfyed 1: [1 VBN] 
cruschet 1: [1 VBN] 
cryed 1: [1 VBN] 
