/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
apeerede 1: [1 VBD] 
aperde 1: [1 VBD] 
apered 5: [5 VBD] 
aperede 4: [4 VBD] 
aperet 2: [2 VBD] 
aperryd 1: [1 VBD] 
aperut 1: [1 VBD] 
aperyd 7: [7 VBD] 
apierede 1: [1 VBD] 
aplyed 1: [1 VBD] 
apparailed 1: [1 VBD] 
apparailede 1: [1 VBD] 
appayryde 1: [1 VBD] 
appeered 1: [1 VBD] 
appeled 4: [4 VBD] 
appelede 1: [1 VBD] 
appelyd 3: [3 VBD] 
appered $appered 29: [29 VBD] 
apperede 1: [1 VBD] 
apperide 6: [6 VBD] 
apperiden 1: [1 VBD] 
apperit 1: [1 VBD] 
apperyd 4: [4 VBD] 
apperyde 2: [2 VBD] 
apperyth 2: [2 VBD] 
appierid 3: [3 VBD] 
apposed 1: [1 VBD] 
appoynted 1: [1 VBD] 
appreued 1: [1 VBD] 
approched 1: [1 VBD] 
approue+t 1: [1 VBD] 
approued 1: [1 VBD] 
approuede 1: [1 VBD] 
aproched 1: [1 VBD] 
aprouede 1: [1 VBD] 
aqueynted 1: [1 VBD] 
araht 1: [1 VBD] 
ararde 1: [1 VBD] 
aras 9: [9 VBD] 
arayed 4: [4 VBD] 
arearde 1: [1 VBD] 
areared 1: [1 VBD] 
aredde 2: [2 VBD] 
aren 1: [1 BED] 
arerde 4: [4 VBD] 
arered 1: [1 VBD] 
areride 1: [1 VBD] 
aresond 1: [1 VBD] 
arestid 1: [1 VBD] 
arestyd 3: [3 VBD] 
aretted 1: [1 VBD] 
arew 1: [1 VBD] 
areysede 2: [2 VBD] 
arguyde 1: [1 VBD] 
arise 2: [2 VBD] 
arisen 2: [2 VBD] 
armed 11: [11 VBD] 
armede 1: [1 VBD] 
armyd 1: [1 VBD] 
aroas 1: [1 VBD] 
aroos 12: [12 VBD] 
aroose 1: [1 VBD] 
aros 22: [22 VBD] 
arose 16: [16 VBD] 
arrayed 2: [2 VBD] 
arresond 1: [1 VBD] 
arryue 1: [1 VBD] 
arryued Arryued 3: [3 VBD] 
arryuede 14: [14 VBD] 
arryved Arryved 2: [2 VBD] 
arudde 3: [3 VBD] 
aryst 1: [1 VBD] 
arysyd 1: [1 VBD] 
aryued Aryued 6: [6 VBD] 
as-semblede 1: [1 VBD] 
as-signede 1: [1 VBD] 
asayd 2: [2 VBD] 
asayde 2: [2 VBD] 
asayed 1: [1 VBD] 
asaylede 1: [1 VBD] 
asayllyd 1: [1 VBD] 
ascaped Ascaped 6: [6 VBD] 
ascapede 5: [5 VBD] 
ascapide 3: [3 VBD] 
ascapiden 1: [1 VBD] 
aschaped 1: [1 VBD] 
ascribed 1: [1 VBD] 
ascwsyd 1: [1 VBD] 
aseh 2: [2 VBD] 
asenchtest 1: [1 VBD] 
asenddyt 1: [1 VBD] 
asende 1: [1 VBD] 
asendyt 1: [1 VBD] 
asentyd 1: [1 VBD] 
ashed 1: [1 VBD] 
asigned 1: [1 VBD] 
asined 1: [1 VBD] 
askapede 1: [1 VBD] 
askappyd 2: [2 VBD] 
asked $asked 83: [83 VBD] 
askede 9: [9 VBD] 
askeden 1: [1 VBD] 
askedest 1: [1 VBD] 
asket 2: [2 VBD] 
askid 1: [1 VBD] 
askyd 60: [60 VBD] 
askyt 2: [2 VBD] 
asoiled 1: [1 VBD] 
asoyled 1: [1 VBD] 
asoylede 2: [2 VBD] 
aspied 8: [8 VBD] 
aspiede 4: [4 VBD] 
aspieden 1: [1 VBD] 
aspyed 17: [17 VBD] 
