/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
ame 3: [3 BEP] 
amend 4: [4 VBP] 
amende 11: [11 VBP] 
amende+t 1: [1 VBP] 
amenden 1: [1 VBP] 
amendeth 2: [2 VBP] 
amendis 1: [1 VBP] 
amendyth 1: [1 VBP] 
amenuse 1: [1 VBP] 
amenuse+t 1: [1 VBP] 
amenuseth Amenuseth 3: [3 VBP] 
amenusith 1: [1 VBP] 
amerra+d 1: [1 VBP] 
amerrad 1: [1 VBP] 
amerre 1: [1 VBP] 
amm Amm 27: [27 BEP] 
amonechen 1: [1 VBP] 
amoneste+t 4: [4 VBP] 
amonesteth 2: [2 VBP] 
amonysch 3: [3 VBP] 
amonyschen 1: [1 VBP] 
amounteth 1: [1 VBP] 
amountith 3: [3 VBP] 
amuntet 1: [1 VBP] 
amynistreth 1: [1 VBP] 
an 1: [1 VBP21] 
an-he+ge 1: [1 VBP] 
an-he+ge+t 1: [1 VBP] 
anal+d 1: [1 VBP] 
andette 1: [1 VBP] 
andie+d 1: [1 VBP] 
andswere+d 6: [6 VBP] 
andswerest 1: [1 VBP] 
anginne+d 1: [1 VBP] 
anhe+ge+t 1: [1 VBP] 
anhet 2: [2 VBP] 
anhonge+t 1: [1 VBP] 
anlikne+t 3: [3 VBP] 
anlykne+t 2: [2 VBP] 
anndg+atenn 2: [2 VBP] 
annexe 1: [1 VBP] 
annoyeth 1: [1 VBP] 
anoieth 1: [1 VBP] 
anoint 1: [1 VBP] 
anore 1: [1 VBP] 
anoure 1: [1 VBP] 
anouren 2: [2 VBP] 
anoyen 1: [1 VBP] 
anoyeth 9: [9 VBP] 
anoynt 1: [1 VBP] 
anoynte 2: [2 VBP] 
anoynte+t 2: [2 VBP] 
anoynteden 1: [1 VBP] 
anoynteth 1: [1 VBP] 
anoynti+t 1: [1 VBP] 
anscewer 1: [1 VBP] 
ansuere+t 2: [2 VBP] 
ansuereth 1: [1 VBP] 
answer 5: [5 VBP] 
answer+t 1: [1 VBP] 
answere 4: [4 VBP] 
answeren 2: [2 VBP] 
answeres 1: [1 VBP] 
answeri+t 1: [1 VBP] 
answers 1: [1 VBP] 
answeryth 1: [1 VBP] 
antermeote+d 1: [1 VBP] 
antermete+d 1: [1 VBP] 
anuenyme+t 1: [1 VBP] 
aparceyue+t 1: [1 VBP] 
apendis 1: [1 VBP] 
aperceyve 1: [1 VBP] 
aperceyvest 1: [1 VBP] 
aperceyveth 2: [2 VBP] 
apereth 2: [2 VBP] 
aperith 1: [1 VBP] 
apers 1: [1 VBP] 
apertenen 3: [3 VBP] 
aperteneth 14: [14 VBP] 
aperyth 1: [1 VBP] 
apparaille 1: [1 VBP] 
apparailleth 2: [2 VBP] 
apparayle 1: [1 VBP] 
appayres 1: [1 VBP] 
appeereth 1: [1 VBP] 
appere 1: [1 VBP] 
apperen 2: [2 VBP] 
appereth 9: [9 VBP] 
apperist 1: [1 VBP] 
apperith 1: [1 VBP] 
appertenen 1: [1 VBP] 
apperteyneth 1: [1 VBP] 
apperyth 1: [1 VBP] 
apperythe 1: [1 VBP] 
appeseth 1: [1 VBP] 
appreue 1: [1 VBP] 
appreueth 2: [2 VBP] 
approcheth 1: [1 VBP] 
aproue+t 1: [1 VBP] 
aquike+d 1: [1 VBP] 
aquytte+t 1: [1 VBP] 
ar 68: [68 BEP] 
ar+are+d 1: [1 VBP] 
arar+d 1: [1 VBP] 
aray 1: [1 VBP] 
arayeth 1: [1 VBP] 
ard 1: [1 BEP] 
are 113: [113 BEP] 
areare 2: [2 VBP] 
areare+d 1: [1 VBP] 
areche+d 1: [1 VBP] 
aredde 1: [1 VBP] 
aren 8: [8 BEP] 
areowe 1: [1 VBP] 
areowe+d 1: [1 VBP] 
arere 2: [2 VBP] 
arere+d 3: [3 VBP] 
arere+t 6: [6 VBP] 
areyse+t 1: [1 VBP] 
argueth 1: [1 VBP] 
arise 10: [10 VBP] 
arise+d 11: [11 VBP] 
arise+t 2: [2 VBP] 
arisen 7: [7 VBP] 
ariseth 3: [3 VBP] 
arisith 3: [3 VBP] 
arist 10: [10 VBP] 
arize+t 1: [1 VBP] 
arme+t 2: [2 VBP] 
armen 1: [1 VBP] 
arn 40: [37 BEP] [3 VBP] 
arne 1: [1 BEP] 
arraye+t 1: [1 VBP] 
arrayen 1: [1 VBP] 
arretteth 1: [1 VBP] 
arrn 2: [2 BEP] 
arrt 13: [13 BEP] 
