/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
destourbeth 2: [2 VBP] 
destreingne 1: [1 VBP] 
destreyneth 2: [2 VBP] 
destroien 1: [1 VBP] 
destroist 1: [1 VBP] 
destroye 1: [1 VBP] 
destroyen 2: [2 VBP] 
destroyes 2: [2 VBP] 
destroyeth 6: [6 VBP] 
destrue+t 2: [2 VBP] 
destrues 1: [1 VBP] 
destrui+t 1: [1 VBP] 
destruie 1: [1 VBP] 
destruye 3: [3 VBP] 
destyllen 1: [1 VBP] 
desyre 7: [7 VBP] 
desyren 1: [1 VBP] 
desyres 3: [3 VBP] 
desyrest 2: [2 VBP] 
desyreth 2: [2 VBP] 
desyris 1: [1 VBP] 
desyryn 3: [3 VBP] 
desyryth 1: [1 VBP] 
desyue+t 1: [1 VBP] 
deu+d 2: [2 VBP] 
deue+d 1: [1 VBP] 
deuouren 2: [2 VBP] 
deuourith 1: [1 VBP] 
deuowryst 1: [1 VBP] 
devouren 1: [1 VBP] 
devoureth 1: [1 VBP] 
devyse 1: [1 VBP] 
dewellen 1: [1 VBP] 
deweolied 1: [1 VBP22] 
dewolie+d 1: [1 VBP22] 
dey 6: [6 VBP] 
dey+te 1: [1 VBP] 
deye 1: [1 VBP] 
deye+t 2: [2 VBP] 
deyeth 2: [2 VBP] 
deyn 1: [1 VBP] 
deyne+t 1: [1 VBP] 
deyneth 1: [1 VBP] 
deyth 2: [2 VBP] 
di+d 1: [1 VBP] 
di+ge 1: [1 VBP] 
di+gen 2: [2 VBP] 
di+geth 1: [1 VBP] 
di+gith 1: [1 VBP] 
di+gt 2: [2 VBP] 
di+gte+t 2: [2 VBP] 
die 6: [6 VBP] 
die+d 10: [10 DOP] 
die+t 1: [1 VBP] 
dieme+d 1: [1 VBP] 
dien 3: [3 VBP] 
diest 3: [3 DOP] 
dieth 3: [3 VBP] 
diffini+t 1: [1 VBP] 
diht 1: [1 VBP] 
dihte 1: [1 VBP] 
dippesst 1: [1 VBP] 
disceyueth 1: [1 VBP] 
disconfiteth 1: [1 VBP] 
discorde 1: [1 VBP] 
discorden 2: [2 VBP] 
discordith 4: [4 VBP] 
discovereth 1: [1 VBP] 
$disdeynyst 1: [1 VBP] 
diseret 1: [1 VBP] 
disiri+t 1: [1 VBP] 
dismembre 1: [1 VBP] 
disobeyeth 1: [1 VBP] 
disparplith 1: [1 VBP] 
dispende+t 1: [1 VBP] 
dispenden 2: [2 VBP] 
dispendes 1: [1 VBP] 
dispendist 2: [2 VBP] 
dispenseth 1: [1 VBP] 
disperge 1: [1 VBP] 
dispeyre 1: [1 VBP] 
dispeyryn 1: [1 VBP] 
dispise 1: [1 VBP] 
dispisen 4: [4 VBP] 
dispises 1: [1 VBP] 
dispisith 1: [1 VBP] 
displese 1: [1 VBP] 
displeseth 2: [2 VBP] 
displeson 1: [1 VBP] 
displesyn 1: [1 VBP] 
dispolyle+t 1: [1 VBP] 
disponith 3: [3 VBP] 
disponyth 1: [1 VBP] 
dispose+g 1: [1 VBP] 
dispose+t 1: [1 VBP] 
disposes 1: [1 VBP] 
disposith 1: [1 VBP] 
disposu+t 1: [1 VBP] 
dispoyle+t 1: [1 VBP] 
dispute 1: [1 VBP] 
dispyse 1: [1 VBP] 
dispyses $dispyses 2: [2 VBP] 
disseruedist 2: [2 VBP] 
disseruen 1: [1 VBP] 
disserveth 1: [1 VBP] 
disseyon 1: [1 VBP] 
disseyue 1: [1 VBP] 
disseyue+t 4: [4 VBP] 
disseyuen 2: [2 VBP] 
disseyuon 3: [3 VBP] 
distorble+t 1: [1 VBP] 
distourbeth 2: [2 VBP] 
distourbith 1: [1 VBP] 
distreyneth 1: [1 VBP] 
distroie 3: [3 VBP] 
distrowblide 1: [1 VBP] 
distrowblist 1: [1 VBP] 
distroye 1: [1 VBP] 
distruy 1: [1 VBP] 
disturbe+t 1: [1 VBP] 
disusen 1: [1 VBP] 
disuson 1: [1 VBP] 
disyre+t 1: [1 VBP] 
disyrest 1: [1 VBP] 
ditte+d 3: [3 VBP] 
diueri 1: [1 VBP] 
dividen 2: [2 VBP] 
divideth 3: [3 VBP] 
divyden 1: [1 VBP] 
do $do Do 295: [293 DOP] [1 DOP-LFD] [1 DOP-RSP] 
do+d $do+d 164: [163 DOP] [1 VBP22] 
do+g 1: [1 DOP] 
do+t $do+t Do+t 194: [194 DOP] 
do+te 18: [18 DOP] 
dobble+t 2: [2 VBP] 
doble+t 1: [1 VBP] 
doe 1: [1 DOP] 
doen 6: [6 DOP] 
does 1: [1 DOP] 
doist 5: [5 DOP] 
doith 16: [16 DOP] 
dolue 1: [1 VBP] 
don Don 170: [170 DOP] 
done 10: [10 DOP] 
doo 19: [18 DOP] [1 VBP] 
doo+t 13: [13 DOP] 
doole 1: [1 VBP] 
dooleth 1: [1 VBP] 
doon Doon 64: [64 DOP] 
doos 2: [2 DOP] 
doost 5: [5 DOP] 
doot 1: [1 DOP] 
dooth 54: [54 DOP] 
dos 21: [21 DOP] 
dose Dose 46: [46 DOP] 
dosst 3: [3 DOP] 
dost Dost 24: [23 DOP] [1 VBP] 
doste 7: [7 DOP] 
dot 1: [1 DOP] 
doth 56: [55 DOP] [1 VBP] 
dothe 8: [8 DOP] 
dotie 1: [1 VBP] 
dotie+d 1: [1 VBP] 
dou-oure 1: [1 VBP] 
doute Doute 6: [6 VBP] 
doute+t 6: [6 VBP] 
douten 4: [4 VBP] 
doutest 1: [1 VBP] 
douteth 3: [3 VBP] 
doutith 1: [1 VBP] 
dowble+t 1: [1 VBP] 
dowbulth 1: [1 VBP] 
dowte 1: [1 VBP] 
dowte+t 3: [3 VBP] 
dowten 4: [4 VBP] 
$dowtest 1: [1 VBP] 
dowtis 1: [1 VBP] 
dowton 2: [2 VBP] 
$dowtust 1: [1 VBP] 
doyste 1: [1 DOP] 
doyth 1: [1 DOP] 
dr+ade+d 1: [1 VBP] 
dr+adenn 1: [1 VBP] 
dra+g+t 7: [7 VBP] 
dra+ge 5: [4 VBP] [1 VBP22] 
dra+ge+d 13: [12 VBP] [1 VBP22] 
dra+ge+t 3: [3 VBP] 
dra+gest 2: [1 VBP22] [1 VBP] 
dra+ghe 1: [1 VBP] 
dra+ghe+t+t 1: [1 VBP] 
dra+ghenn 2: [2 VBP] 
drach 1: [1 VBP] 
drade+d 1: [1 VBP] 
draga+d 1: [1 VBP] 
dragen 1: [1 VBP] 
drahe+d 2: [2 VBP] 
drat 2: [2 VBP] 
drau+g+t 1: [1 VBP] 
draw 3: [3 VBP] 
drawe 7: [7 VBP] 
drawe+d 2: [2 VBP22] 
drawe+t 6: [6 VBP] 
drawen 7: [7 VBP] 
drawes 9: [9 VBP] 
drawet 1: [1 VBP] 
draweth 9: [9 VBP] 
drawith 1: [1 VBP] 
drawst 1: [1 VBP] 
drawy+t 1: [1 VBP] 
drawyth 2: [2 VBP] 
draze 1: [1 VBP] 
dre+ge+d 5: [5 VBP] 
dre+get 1: [1 VBP] 
dre+ghesst 1: [1 VBP] 
dreaie 1: [1 VBP] 
dreaie+d 1: [1 VBP] 
dreamen 1: [1 VBP] 
dreaue+d 1: [1 VBP22] 
drecche+d 1: [1 VBP] 
dreche+d 1: [1 VBP] 
dred 2: [2 VBP] 
dredden 2: [2 VBP] 
drede Drede 39: [39 VBP] 
drede+d 3: [3 VBP] 
drede+t 13: [13 VBP] 
drede+t+t 2: [2 VBP] 
dreden 20: [20 VBP] 
dredes 1: [1 VBP] 
dredest 1: [1 VBP] 
dredeth 10: [10 VBP] 
dredi+t 1: [1 VBP] 
dredis 2: [2 VBP] 
dredist 2: [2 VBP] 
dredith 2: [2 VBP] 
dredon 1: [1 VBP] 
dredyth 2: [2 VBP] 
dreede 1: [1 VBP] 
drehe 1: [1 VBP] 
drehe+d 1: [1 VBP] 
drehen 3: [3 VBP] 
drehest 1: [1 VBP] 
drei+ge+d 3: [3 VBP] 
dreie+d 2: [2 VBP] 
dreme 2: [2 VBP] 
dremen 1: [1 VBP] 
drenche+d 1: [1 VBP] 
drencheth 1: [1 VBP] 
drenken 1: [1 VBP] 
dresce+t 2: [2 VBP] 
dresse 3: [3 VBP] 
dresseth 1: [1 VBP] 
dret 5: [5 VBP] 
dreuen 1: [1 VBP] 
dreve 1: [1 VBP] 
dreyeth 1: [1 VBP] 
dri+ge+d 1: [1 VBP] 
drie+d 1: [1 VBP] 
drien 1: [1 VBP] 
drif+d 1: [1 VBP] 
drif+t 1: [1 VBP] 
drife+t+t 6: [6 VBP] 
drifst 1: [1 VBP] 
drige 1: [1 VBP] 
drige+d 2: [2 VBP] 
drigen 2: [2 VBP] 
drince+d 1: [1 VBP] 
dring+t 3: [3 VBP] 
drinke 9: [9 VBP] 
drinke+d 9: [9 VBP] 
drinke+t 2: [2 VBP] 
drinked 1: [1 VBP] 
drinken 3: [3 VBP] 
drinkest 1: [1 VBP] 
driue 2: [2 VBP] 
driue+d 15: [2 VBP22] [13 VBP] 
driue+t 1: [1 VBP] 
driuen 2: [2 VBP] 
driuest 1: [1 VBP] 
drohtnige+d 1: [1 VBP] 
drohtnigen 1: [1 VBP] 
droppe 1: [1 VBP] 
droppe+t 1: [1 VBP] 
droppen 1: [1 VBP] 
droppeth 4: [4 VBP] 
drowen 1: [1 VBP] 
dru+ge+d 2: [2 VBP] 
druncne+d 1: [1 VBP] 
druncni 1: [1 VBP] 
druncni+d 1: [1 VBP] 
dryen 3: [3 VBP] 
dryes 1: [1 VBP] 
dryf+t 3: [3 VBP] 
dryng+t 1: [1 VBP] 
dryngketh 1: [1 VBP] 
drynk 2: [2 VBP] 
drynke 5: [5 VBP] 
drynken 14: [14 VBP] 
drynkes 1: [1 VBP] 
drynketh 4: [4 VBP] 
drynkith 4: [4 VBP] 
dryue+t 3: [3 VBP] 
dryuyth 1: [1 VBP] 
dryven 1: [1 VBP] 
dryveth 1: [1 VBP] 
du+d 1: [1 DOP] 
duell 1: [1 VBP] 
duelle DUELLE 3: [3 VBP] 
duellen 16: [16 VBP] 
duelleth 10: [10 VBP] 
duellis 4: [4 VBP] 
duellys 1: [1 VBP] 
dure 1: [1 VBP] 
dure+t 7: [7 VBP] 
duren 2: [2 VBP] 
dureth 11: [11 VBP] 
duse 22: [22 DOP] 
dusse 1: [1 DOP] 
dust 1: [1 DOP] 
duste+d 1: [1 VBP] 
dute 3: [3 VBP] 
dute+d 1: [1 VBP] 
dutes 1: [1 VBP] 
dutest 1: [1 VBP] 
dutis 1: [1 VBP] 
dutte+d 1: [1 VBP] 
duue 1: [1 VBP] 
dwela+d 1: [1 VBP] 
dwelige+d 1: [1 VBP] 
dwell 2: [2 VBP] 
dwelle Dwelle 6: [6 VBP] 
dwelle+t 4: [4 VBP] 
dwelle+t+t 1: [1 VBP] 
dwellen 23: [23 VBP] 
dwelles 2: [2 VBP] 
dwellesst 1: [1 VBP] 
$dwellest dwellest 4: [4 VBP] 
dwelleth 13: [13 VBP] 
dwelli+t 1: [1 VBP] 
dwellist 1: [1 VBP] 
dwellith 11: [11 VBP] 
dwellon 1: [1 VBP] 
dwellu+t 4: [4 VBP] 
dwellyn 1: [1 VBP] 
dwellyth 5: [5 VBP] 
dy 1: [1 VBP] 
dy+ge 1: [1 VBP] 
dye 10: [10 VBP] 
dye+t 2: [2 VBP] 
dyen 8: [8 VBP] 
dyes 2: [2 VBP] 
dyeth 9: [9 VBP] 
dyrectyth 1: [1 VBP] 
dyskeuer 1: [1 VBP] 
dyspende 1: [1 VBP] 
dyspensyth 2: [2 VBP] 
dysplesyth 1: [1 VBP] 
dyspose 1: [1 VBP] 
dyspute+te 1: [1 VBP] 
dysputyth 1: [1 VBP] 
dyssaues 1: [1 VBP] 
dystresse 1: [1 VBP] 
dystressis 1: [1 VBP] 
dystroyes 1: [1 VBP] 
dystroyt+g 1: [1 VBP] 
dystruble 1: [1 VBP] 
dyuydu+t 1: [1 VBP] 
dyvyde 2: [2 VBP] 
/*  ~E~  */
eam 1: [1 BEP] 
eardi+d 1: [1 VBP] 
earne+d 4: [3 VBP22] [1 VBP] 
earni 2: [2 VBP] 
earnie 1: [1 VBP] 
eart 3: [3 BEP] 
easke+d 2: [2 VBP] 
easkest 3: [3 VBP] 
easki 3: [3 VBP] 
ebbe+d 6: [6 VBP] 
ec+d 1: [1 VBP] 
eche 1: [1 VBP] 
eche+d 2: [2 VBP] 
echi 1: [1 VBP] 
ecne+d 1: [1 VBP] 
ed 6: [6 VBP21] 
ed-stont 1: [1 VBP] 
edeawet 1: [1 VBP] 
edhalt 3: [3 VBP] 
edwite+d 2: [2 VBP] 
eenden 1: [1 VBP] 
eendi+t 1: [1 VBP] 
efne+d 9: [9 VBP] 
efni+d 1: [1 VBP] 
egge 1: [1 VBP] 
egge+d 4: [4 VBP] 
egged 1: [1 VBP] 
eggen 1: [1 VBP] 
egges 1: [1 VBP] 
eggi 1: [1 VBP] 
eggi+d 3: [3 VBP] 
eh+d 1: [1 VBP] 
eile+d 2: [2 VBP] 
eilest 1: [1 VBP] 
eili 2: [2 VBP] 
eille+d 2: [2 VBP] 
elde 1: [1 VBP] 
em 3: [3 BEP] 
embespec+d 1: [1 VBP] 
embraceth 2: [2 VBP] 
emte+t 1: [1 VBP] 
enbraceth 1: [1 VBP] 
enbraseth 1: [1 VBP] 
enchevith 1: [1 VBP] 
enclosith 1: [1 VBP] 
enclyne 1: [1 VBP] 
encreescen 2: [2 VBP] 
encreesceth 1: [1 VBP] 
encreessen 1: [1 VBP] 
encreesseth 4: [4 VBP] 
encreessi+t 1: [1 VBP] 
encrescith 1: [1 VBP] 
encrese+t 2: [2 VBP] 
encresen 1: [1 VBP] 
encressith 1: [1 VBP] 
encresu+t 1: [1 VBP] 
enddyth 1: [1 VBP] 
ende 2: [2 VBP] 
ende+d 2: [2 VBP] 
ende+t 3: [3 VBP] 
ende+t+t 1: [1 VBP] 
enden 1: [1 VBP] 
endenn 7: [7 VBP] 
endes 1: [1 VBP] 
endeth 2: [2 VBP] 
endi 2: [2 VBP] 
endith ENDITH 12: [12 VBP] 
endu+t 1: [1 VBP] 
enduryth 1: [1 VBP] 
endys 1: [1 VBP] 
endyth 2: [2 VBP] 
endythe 1: [1 VBP] 
enfeblen 1: [1 VBP] 
enfoormeth 1: [1 VBP] 
enforce 4: [4 VBP] 
enforcen 6: [6 VBP] 
enforces 1: [1 VBP] 
enforceth 1: [1 VBP] 
enforme+t 2: [2 VBP] 
enforsu+te 1: [1 VBP] 
enforthis 1: [1 VBP] 
engendere+t 1: [1 VBP] 
engendren 1: [1 VBP] 
engendreth 2: [2 VBP] 
engendyrs 1: [1 VBP] 
englishe 1: [1 VBP] 
engreggen 1: [1 VBP] 
enhabite 1: [1 VBP] 
enhabiteth 1: [1 VBP] 
enhaunceth 1: [1 VBP] 
enioyes 1: [1 VBP] 
enioyne 1: [1 VBP] 
enjoyne 1: [1 VBP] 
enjoynen 1: [1 VBP] 
enoynten 1: [1 VBP] 
enoyntes 1: [1 VBP] 
enprides 1: [1 VBP] 
enquere 1: [1 VBP] 
enspires 1: [1 VBP] 
enspirith 1: [1 VBP] 
ensuete 1: [1 VBP] 
ensure 2: [2 VBP] 
entereste 1: [1 VBP] 
entermetes 1: [1 VBP] 
enters 2: [2 VBP] 
entices 1: [1 VBP] 
entirs 1: [1 VBP] 
entre 8: [8 VBP] 
entre+t 5: [5 VBP] 
entredust 1: [1 VBP] 
entremetteth 2: [2 VBP] 
entren 8: [8 VBP] 
entreth 8: [8 VBP] 
entrith 4: [4 VBP] 
entryth 1: [1 VBP] 
entyrs 2: [2 VBP] 
enuenime+t 1: [1 VBP] 
enuenyme+t 1: [1 VBP] 
enuenymuth 1: [1 VBP] 
enueyme+t 1: [1 VBP] 
envenyme 1: [1 VBP] 
envyrouneth 2: [2 VBP] 
eorne 1: [1 VBP] 
eorne+d 5: [5 VBP] 
eorne+t+t 2: [2 VBP] 
eota 1: [1 VBP] 
eote+d 1: [1 VBP] 
eoten 1: [1 VBP] 
er 174: [174 BEP] 
er+gian 1: [1 VBP] 
ere 141: [141 BEP] 
erne+d 4: [4 VBP] 
erne+t 1: [1 VBP] 
erne+t+t 1: [1 VBP] 
erni+d 1: [1 VBP] 
ernien 1: [1 VBP] 
err 1: [1 VBP] 
erre 23: [13 BEP] [10 VBP] 
erren 3: [3 VBP] 
errest 1: [1 VBP] 
erri+t 2: [2 VBP] 
erris 1: [1 VBP] 
erru+t 1: [1 VBP] 
ert $ert 36: [35 BEP] [1 VBP] 
erte Erte 16: [16 BEP] 
es Es $es 1315: [1315 BEP] 
escapen 2: [2 VBP] 
eschapes 1: [1 VBP] 
eschawfeth 1: [1 VBP] 
eschewe 2: [2 VBP] 
eschewe+t 1: [1 VBP] 
eschue 2: [2 VBP] 
eschueth 3: [3 VBP] 
eskest 1: [1 VBP] 
est 2: [1 VBP] [1 BEP] 
establisseth 1: [1 VBP] 
et 3: [1 VBP21] [2 VBP] 
et-hele+d 1: [1 VBP] 
et-stonde 1: [1 VBP] 
eta+d 2: [2 VBP] 
ete Ete 26: [26 VBP] 
ete+d 2: [2 VBP] 
ete+t 6: [6 VBP] 
eten $eten 38: [38 VBP] 
etes 2: [2 VBP] 
etest 2: [2 VBP] 
eteth 2: [2 VBP] 
eth 3: [3 VBP] 
ethalt 1: [1 VBP] 
etis 1: [1 VBP] 
etith 4: [4 VBP] 
eton 1: [1 VBP] 
etst 1: [1 VBP] 
etsterten 1: [1 VBP] 
ette 1: [1 VBP] 
ettle+d 1: [1 VBP] 
ettys 1: [1 VBP] 
euene+d 1: [1 VBP] 
euenleche+d 1: [1 VBP] 
examene+t 1: [1 VBP] 
examyne 1: [1 VBP] 
excede 1: [1 VBP] 
excelleth 1: [1 VBP] 
excellith 1: [1 VBP] 
excepte 1: [1 VBP] 
excercisen 1: [1 VBP] 
exciten 2: [2 VBP] 
exclude+t 1: [1 VBP] 
excludon 1: [1 VBP] 
excuse 1: [1 VBP] 
excuse+g 1: [1 VBP] 
excuse+t 4: [4 VBP] 
excusen 3: [3 VBP] 
excusest 2: [2 VBP] 
excuseth 3: [3 VBP] 
exercisith 1: [1 VBP] 
expony+t 1: [1 VBP] 
expowne 1: [1 VBP] 
expresseth 1: [1 VBP] 
eyleth 4: [4 VBP] 
eylith 1: [1 VBP] 
/*  ~F~  */
f+astne+d 1: [1 VBP] 
fadith 1: [1 VBP] 
$fagnis 1: [1 VBP] 
faile 3: [3 VBP] 
faile+t 6: [6 VBP] 
failen 2: [2 VBP] 
faileth 1: [1 VBP] 
faili+t 2: [2 VBP] 
faill 1: [1 VBP] 
faille 1: [1 VBP] 
faille+t 2: [2 VBP] 
fal 1: [1 VBP] 
fale+t 1: [1 VBP] 
falewe+d 1: [1 VBP] 
falewi 1: [1 VBP] 
fall 10: [10 VBP] 
falle FALLE 39: [37 VBP] [1 VBP-LFD] [1 VBP-RSP] 
falle+d 29: [29 VBP] 
falle+t 15: [15 VBP] 
falle+t+t 2: [2 VBP] 
fallen Fallen 36: [36 VBP] 
fallenn 3: [3 VBP] 
falles Falles 18: [18 VBP] 
fallest 1: [1 VBP] 
falleth 16: [16 VBP] 
falli 1: [1 VBP22] 
falli+t 13: [13 VBP] 
fallis Fallis 26: [26 VBP] 
fallith 7: [7 VBP] 
fallu+t 7: [7 VBP] 
fally+te 2: [2 VBP] 
fallyn 3: [3 VBP] 
fallys 2: [2 VBP] 
fallyth 14: [14 VBP] 
false+d 1: [1 VBP] 
falsen 1: [1 VBP] 
falsi 2: [2 VBP] 
falst 1: [1 VBP] 
fand 1: [1 VBP] 
fande+d 1: [1 VBP] 
fandes 1: [1 VBP] 
far 5: [5 VBP] 
far+d 6: [6 VBP] 
fare 6: [6 VBP] 
fare+d 18: [16 VBP] [2 VBP22] 
fare+t+t 1: [1 VBP] 
fared 1: [1 VBP] 
faren 6: [6 VBP] 
farenn 2: [2 VBP] 
fareth 9: [9 VBP] 
fari+t 1: [1 VBP] 
faris 1: [1 VBP] 
faru+t 3: [3 VBP] 
faryst 1: [1 VBP] 
faryth 4: [4 VBP] 
fast 3: [3 VBP] 
faste 3: [3 VBP] 
faste+d 7: [7 VBP] 
faste+t 2: [2 VBP] 
fasten 3: [3 VBP] 
fastes 2: [2 VBP] 
fasteth 2: [2 VBP] 
fastne+t 1: [1 VBP] 
fastnyth 1: [1 VBP] 
fastyn 1: [1 VBP] 
fatte+d 1: [1 VBP] 
fauors 1: [1 VBP] 
fayle 8: [8 VBP] 
fayle+t 8: [8 VBP] 
faylen 9: [9 VBP] 
fayles 4: [4 VBP] 
fayleth 6: [6 VBP] 
faylith 2: [2 VBP] 
faylon 3: [3 VBP] 
faylu+t 6: [6 VBP] 
fayluth 1: [1 VBP] 
fe+d 5: [5 VBP] 
fea+ge+d 1: [1 VBP] 
fear+d 1: [1 VBP] 
feare 1: [1 VBP] 
feare+d 5: [5 VBP] 
fearen 1: [1 VBP] 
fearest 1: [1 VBP] 
febli 1: [1 VBP] 
$feblu+t 1: [1 VBP] 
feche+d 2: [2 VBP] 
fechte+d 8: [8 VBP] 
fed 1: [1 VBP] 
fede 2: [2 VBP] 
fede+d 8: [8 VBP] 
fede+t 2: [2 VBP] 
fede+t+t 3: [3 VBP] 
feden 7: [7 VBP] 
fedest 1: [1 VBP] 
fedeth 1: [1 VBP] 
fedi+t 2: [2 VBP] 
fedis 4: [4 VBP] 
fedith 1: [1 VBP] 
fedu+t 1: [1 VBP] 
fedy+t 1: [1 VBP] 
feede 1: [1 VBP] 
feele 2: [2 VBP] 
feelen 1: [1 VBP] 
feeleth 2: [2 VBP] 
feeli+t 3: [3 VBP] 
feghtyth 1: [1 VBP] 
fehta+d 1: [1 VBP] 
fehte 1: [1 VBP] 
fehte+d 2: [2 VBP] 
fei+ge+d 2: [2 VBP] 
fei+gten 3: [3 VBP] 
feine+t 1: [1 VBP] 
fel+d 1: [1 VBP] 
felawschipeth 1: [1 VBP] 
fele 22: [22 VBP] 
fele+d 14: [14 VBP] 
fele+t 3: [3 VBP] 
fele+te 1: [1 VBP] 
felen 4: [4 VBP] 
feles 8: [8 VBP] 
felest 3: [3 VBP] 
feli+t 11: [11 VBP] 
felid 1: [1 VBP] 
felis 9: [9 VBP] 
felist 3: [3 VBP] 
fell 1: [1 VBP] 
felle+d 1: [1 VBP] 
fellenn 1: [1 VBP] 
felyn 1: [1 VBP] 
felys 3: [3 VBP] 
fenys 1: [1 VBP] 
feole 1: [1 VBP] 
feole+d 2: [2 VBP] 
feollen 1: [1 VBP] 
feorleose+d 1: [1 VBP] 
fer+d 1: [1 VBP] 
fera+d 2: [2 VBP] 
fere 3: [3 VBP] 
fere+d 2: [2 VBP] 
ferest 1: [1 VBP] 
feris 1: [1 VBP] 
fest 1: [1 VBP] 
feste 2: [2 VBP] 
feste+d 5: [5 VBP] 
festen 1: [1 VBP] 
festned 1: [1 VBP] 
festni 1: [1 VBP] 
festre 1: [1 VBP] 
fet 5: [5 VBP] 
fett 1: [1 VBP] 
feyne 3: [3 VBP] 
feyne+t 2: [2 VBP] 
feynen 5: [5 VBP] 
feynys 1: [1 VBP] 
feyr 1: [1 VBP] 
ffalle+t 1: [1 VBP] 
ffallyth 2: [2 VBP] 
fi+gte 3: [3 VBP] 
fi+gte+t 1: [1 VBP] 
fi+gten 1: [1 VBP] 
fi+gtith 2: [2 VBP] 
fi+gtte+t 1: [1 VBP] 
fighten 1: [1 VBP] 
fighteth 1: [1 VBP] 
figurith 1: [1 VBP] 
fihte+d 1: [1 VBP] 
fihten 1: [1 VBP] 
fike+d 1: [1 VBP] 
fikele+d 1: [1 VBP] 
fikest 1: [1 VBP] 
file 1: [1 VBP] 
file+d 1: [1 VBP] 
files 2: [2 VBP] 
fille 3: [3 VBP] 
fille+d 1: [1 VBP] 
fille+t 2: [2 VBP] 
fille+t+t 2: [2 VBP] 
fillenn 1: [1 VBP] 
fillesst 2: [2 VBP] 
filleth 1: [1 VBP] 
fillis 1: [1 VBP] 
filste 4: [4 VBP] 
find 1: [1 VBP] 
finde $finde 14: [14 VBP] 
finde+d 14: [14 VBP] 
finde+t 4: [4 VBP] 
finde+t+t 1: [1 VBP] 
finded 1: [1 VBP] 
finden 1: [1 VBP] 
findenn 4: [4 VBP] 
findes 1: [1 VBP] 
findesst 1: [1 VBP] 
findis 3: [3 VBP] 
fine+t 1: [1 VBP] 
finise 2: [2 VBP] 
finnt 2: [2 VBP] 
finst 1: [1 VBP] 
fint 11: [11 VBP] 
firr+tresst 1: [1 VBP] 
firse+d $firse+d 2: [2 VBP] 
firsi 1: [1 VBP] 
firsti 1: [1 VBP] 
firstin 1: [1 VBP] 
flatere 1: [1 VBP] 
flattere+d 1: [1 VBP] 
fle 7: [7 VBP] 
fle+d 1: [1 VBP] 
fle+ghe+t+t 2: [2 VBP] 
fle+t 5: [5 VBP] 
flechchi 1: [1 VBP] 
flee 1: [1 VBP] 
flee+t 1: [1 VBP] 
fleen 5: [5 VBP] 
flees 1: [1 VBP] 
fleeth 4: [4 VBP] 
flekeryth 1: [1 VBP] 
flen 2: [2 VBP] 
fleo $fleo 5: [1 VBP22] [4 VBP] 
fleo+d 10: [10 VBP] 
fleon $fleon 3: [3 VBP] 
fleote+d 2: [2 VBP] 
flese 1: [1 VBP] 
fleske+d 1: [1 VBP] 
flete 1: [1 VBP] 
fleth 1: [1 VBP] 
fletis 1: [1 VBP] 
fli+d 9: [9 VBP] 
flich 1: [1 VBP] 
flie+d 1: [1 VBP] 
flikere+d 1: [1 VBP] 
flikt 1: [1 VBP] 
flit 1: [1 VBP] 
flite+d 7: [7 VBP] 
flited 1: [1 VBP] 
fliten 1: [1 VBP] 
flitte+d 1: [1 VBP] 
flittenn 1: [1 VBP] 
florische 1: [1 VBP] 
florisse+t 1: [1 VBP] 
florissheth 1: [1 VBP] 
floteren 1: [1 VBP] 
floure+t 1: [1 VBP] 
flouwe+d 1: [1 VBP] 
flow+d 2: [2 VBP] 
flowe 1: [1 VBP] 
flowe+d $flowe+d 9: [9 VBP] 
flowen 1: [1 VBP] 
floweth 1: [1 VBP] 
flowith 2: [2 VBP] 
flutte+d 1: [1 VBP] 
flye 1: [1 VBP] 
flyes 1: [1 VBP] 
fo+d 2: [2 VBP] 
fo+t 2: [2 VBP] 
fog+d 1: [1 VBP] 
foh+d 1: [1 VBP] 
fohe+d 1: [1 VBP] 
fol+ge 3: [3 VBP] 
fol+ge+d 4: [4 VBP] 
fol+ged 1: [1 VBP] 
fol+gen 2: [2 VBP] 
fol+ghe+t+t 1: [1 VBP] 
fol+ghi 1: [1 VBP] 
fol+gi+d 8: [8 VBP] 
fol+gia+d 1: [1 VBP] 
fol+gie+d 1: [1 VBP] 
fol+gin 2: [2 VBP] 
fole+ge 2: [2 VBP] 
fole+ge+d $fole+ge+d 6: [6 VBP] 
folege 1: [1 VBP] 
folege+d 2: [2 VBP] 
folegen 1: [1 VBP] 
folen 1: [1 VBP] 
folewen 2: [2 VBP] 
folewith 4: [4 VBP] 
folge 1: [1 VBP] 
folge+d 4: [4 VBP] 
folged 1: [1 VBP] 
folgi+d 1: [1 VBP] 
folgie+d 1: [1 VBP] 
folhe+d 2: [2 VBP] 
folhi 1: [1 VBP] 
folhi+d 3: [3 VBP] 
folih 2: [2 VBP] 
folihe 1: [1 VBP] 
folihis 1: [1 VBP] 
foliz 2: [2 VBP] 
foll+genn 1: [1 VBP] 
foll+gesst 1: [1 VBP] 
foll+ghe 5: [5 VBP] 
foll+ghe+t+t 37: [37 VBP] 
foll+ghenn 29: [29 VBP] 
foll+ghesst 21: [21 VBP] 
followyth 1: [1 VBP] 
foloues 1: [1 VBP] 
