Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;33.189;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.189;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;33.19;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.191;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.191;%spl_present;%romance;2%;%transitive
CMAELR3-M23;33.193;%spl_present;%romance;2%;%intransitive
CMAELR3-M23;33.193;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.195;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.196;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.2;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;33.2;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;33.209;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;33.21;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;34.215;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;34.221;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;34.222;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;34.223;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;34.231;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;34.232;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;34.232;%spl_present;%germanic;%1half;%intransitive
CMAELR3-M23;34.241;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;34.241;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;34.243;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;34.246;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.248;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.25;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;35.25;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;35.255;%spl_present;%romance;3%;%transitive
CMAELR3-M23;35.258;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;35.26;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;35.262;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;35.263;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;35.265;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.265;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;35.266;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.266;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.268;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;35.268;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.273;%spl_present;%germanic;2%;%intransitive
CMAELR3-M23;36.273;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;36.278;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;36.278;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.279;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.281;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.283;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.284;%spl_present;%romance;2%;%prep_intransitive
CMAELR3-M23;36.285;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;36.293;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;36.293;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;36.31;%spl_present;%germanic;1%;%transitive
