/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Wed May 19 10:58:09 BRT 2021

command file:     verblex4.q
output file:      ../output_files/verblex4.out

Lexicon:  
*/

/*  ~A~  */
byddyng 3: [3 VAG] 
byddynge 1: [1 VAG] 
byginnand 1: [1 VAG] 
bygynnyng 1: [1 VAG] 
bying 1: [1 VAG] 
$byndyng 1: [1 VAG] 
byrnand 14: [14 VAG] 
byrnande 1: [1 VAG] 
bysechyng 2: [2 VAG] 
/*  ~C~  */
callyng 4: [4 VAG] 
callynge 1: [1 VAG] 
castand 1: [1 VAG] 
castyng 1: [1 VAG] 
castynge 2: [2 VAG] 
cessynge 1: [1 VAG] 
chalangand 1: [1 VAG] 
chalenchyng 1: [1 VAG] 
chargyng 4: [4 VAG] 
charmeand 2: [2 VAG] 
chastiand 1: [1 VAG] 
chasyng 3: [3 VAG] 
chaterynge 1: [1 VAG] 
chaunging 1: [1 VAG] 
chaungyng 1: [1 VAG] 
chedyng 1: [1 VAG] 
chesyng 1: [1 VAG] 
cheueryngge 1: [1 VAG] 
chiddyng 1: [1 VAG] 
chidinde 1: [1 VAG] 
chidynge 1: [1 VAG] 
chiuerinde 1: [1 VAG] 
chonginde 2: [2 VAG] 
chydynge 1: [1 VAG] 
cla+dinde 1: [1 VAG] 
clappynge 1: [1 VAG] 
clensig 1: [1 VAG] 
clensing 1: [1 VAG] 
cleopie 1: [1 VAG] 
cleopiende 1: [1 VAG] 
clepand 4: [4 VAG] 
clepyng 2: [2 VAG] 
clepynge 1: [1 VAG] 
cleuiinde 1: [1 VAG] 
cleuiynde 2: [2 VAG] 
cleuynge 3: [3 VAG] 
cleuyngge 1: [1 VAG] 
clippyng 1: [1 VAG] 
clowtyng 1: [1 VAG] 
clymbande 1: [1 VAG] 
clyvynge 1: [1 VAG] 
cneolinde 4: [4 VAG] 
comand 3: [3 VAG] 
comaund 1: [1 VAG] 
comaunding 1: [1 VAG] 
comawndyng 6: [6 VAG] 
comendinge 1: [1 VAG] 
comendyng 1: [1 VAG] 
comfortand 2: [2 VAG] 
comfortyng 3: [3 VAG] 
cominde 2: [2 VAG] 
coming 1: [1 VAG] 
commendynge 1: [1 VAG] 
commyng 3: [3 VAG] 
commynge 6: [6 VAG] 
comownyng 1: [1 VAG] 
compellyng 2: [2 VAG] 
compleynyng 5: [5 VAG] 
comprehendyng 1: [1 VAG] 
comyde 1: [1 VAG] 
comynde 2: [2 VAG] 
comyng 59: [59 VAG] 
comynge 36: [30 VAG] [6 VAG22] 
comyngge 2: [2 VAG] 
conand 2: [2 VAG] 
concernyng 2: [2 VAG] 
conceyuyng 1: [1 VAG] 
$conceyuyngge 1: [1 VAG] 
concupyscensand 1: [1 VAG] 
confortyngge 1: [1 VAG] 
coniuryngge 1: [1 VAG] 
connynge 1: [1 VAG] 
consenntyng 1: [1 VAG] 
consenting 4: [4 VAG] 
consentinge 1: [1 VAG] 
consentyng 3: [3 VAG] 
consentynge 1: [1 VAG] 
conseyuyng 1: [1 VAG] 
considering 3: [3 VAG] 
consideryng 2: [2 VAG] 
considerynge 3: [3 VAG] 
constreinand 1: [1 VAG] 
constreynynge 1: [1 VAG] 
consyderyng 2: [2 VAG] 
consyderynge 1: [1 VAG] 
containing 1: [1 VAG] 
contenyng 2: [2 VAG] 
conteynyng 1: [1 VAG] 
conteynynge 1: [1 VAG] 
contunyng 2: [2 VAG] 
contwnyng 1: [1 VAG] 
contynowyng 1: [1 VAG] 
contynuyng 1: [1 VAG] 
convaying 1: [1 VAG] 
copuland 1: [1 VAG] 
coruinde 1: [1 VAG] 
costynge 1: [1 VAG] 
couaytande 1: [1 VAG] 
coueytinge 1: [1 VAG] 
counsailynge 1: [1 VAG] 
countynge 1: [1 VAG] 
cownselyng 2: [2 VAG] 
cowntynge 1: [1 VAG] 
creopinde 1: [1 VAG] 
crepand 2: [2 VAG] 
crepyng 1: [1 VAG] 
crepynge 7: [7 VAG] 
crewlinde 1: [1 VAG] 
criand 1: [1 VAG] 
criande 1: [1 VAG] 
crienge 2: [2 VAG] 
criing 2: [2 VAG] 
criyng 3: [3 VAG] 
cryand 1: [1 VAG] 
cryeng 2: [2 VAG] 
cryenge 3: [3 VAG] 
crying 7: [7 VAG] 
cryinge 1: [1 VAG] 
cryyng 9: [9 VAG] 
cryynge 2: [2 VAG] 
cuminde 2: [2 VAG] 
cuming 1: [1 VAG] 
cursing 1: [1 VAG] 
cussinde 1: [1 VAG] 
cwe+dinde 3: [1 VAG22] [2 VAG] 
cytyng 1: [1 VAG] 
/*  ~D~  */
dalying 3: [3 VAG] 
dampnyng 1: [1 VAG] 
declaryng 2: [2 VAG] 
defendyng 1: [1 VAG] 
defendynge 1: [1 VAG] 
defouland 1: [1 VAG] 
delende 1: [1 VAG22] 
delitande 1: [1 VAG] 
demyng 1: [1 VAG] 
departynge 2: [2 VAG] 
departyngge 1: [1 VAG] 
derend 1: [1 VAG] 
deriynde 2: [2 VAG] 
des-pisyng 1: [1 VAG] 
descendand 2: [2 VAG] 
descending 3: [3 VAG] 
descendinge 1: [1 VAG] 
descendynge 1: [1 VAG] 
desirand 1: [1 VAG] 
desiring 4: [4 VAG] 
desiringe 1: [1 VAG] 
desiryng 12: [12 VAG] 
desirynge 2: [2 VAG] 
despisyng 1: [1 VAG] 
despisynge 1: [1 VAG] 
despysyng 1: [1 VAG] 
destroyenge 1: [1 VAG] 
desyrand 1: [1 VAG] 
desyring 1: [1 VAG] 
desyryng Desyryng 11: [11 VAG] 
desyryngge 1: [1 VAG] 
dewand 1: [1 VAG] 
discending 1: [1 VAG] 
discendinge 1: [1 VAG] 
discordynge 1: [1 VAG] 
discouerynge 1: [1 VAG] 
discryvyngge 1: [1 VAG] 
discuryng 1: [1 VAG] 
disencresynge 1: [1 VAG] 
dispising 1: [1 VAG] 
dispreisynge 1: [1 VAG] 
disputyng 1: [1 VAG] 
dispysand 1: [1 VAG] 
disseuerynge 1: [1 VAG] 
distriynge 1: [1 VAG] 
doand Doand 11: [10 DAG] [1 VAG] 
doande 1: [1 VAG] 
doutand 5: [5 VAG] 
doutande 1: [1 VAG] 
dowtyng 1: [1 VAG] 
dowtyngge 1: [1 VAG] 
doyng 11: [1 VAG] [10 DAG] 
doynge $doynge 6: [5 DAG] [1 VAG] 
dra+ginde 1: [1 VAG] 
dradinde 1: [1 VAG] 
drawyng 4: [4 VAG] 
drawyngge 1: [1 VAG] 
dredand 10: [10 VAG] 
dreding 1: [1 VAG] 
dredyng 6: [6 VAG] 
dredynge 2: [2 VAG] 
dredyngge 2: [2 VAG] 
dreihninde 1: [1 VAG] 
dremande 2: [2 VAG] 
dressand 1: [1 VAG] 
dressynge 1: [1 VAG] 
drinkende 1: [1 VAG] 
drinkynge 1: [1 VAG] 
driuinde 1: [1 VAG] 
droppand 1: [1 VAG] 
droppyng 1: [1 VAG] 
droppynge 2: [2 VAG] 
druicninde 1: [1 VAG] 
drynkand 1: [1 VAG] 
drynkyng 1: [1 VAG] 
drynkynge 1: [1 VAG] 
duellyng 9: [9 VAG] 
duellynge 2: [2 VAG] 
duryng 2: [2 VAG] 
dutande 1: [1 VAG] 
dwallkennde 1: [1 VAG] 
dwelland 1: [1 VAG] 
dwellyng 18: [18 VAG] 
dwellynge 7: [7 VAG] 
dyand 3: [3 VAG] 
dyeand 1: [1 VAG] 
dysencresynge 1: [1 VAG] 
dysputyng 1: [1 VAG] 
/*  ~E~  */
ebbynge 1: [1 VAG] 
edifiand 1: [1 VAG] 
edifyenge 1: [1 VAG] 
ekand 2: [2 VAG] 
enchewyng 1: [1 VAG] 
enclynynge 1: [1 VAG] 
encresyng 1: [1 VAG] 
encumpassand 1: [1 VAG] 
enformyng 1: [1 VAG] 
enioyande 2: [2 VAG] 
enioyng 1: [1 VAG] 
enquering 1: [1 VAG] 
entendande 1: [1 VAG] 
entring 1: [1 VAG] 
$entryng 1: [1 VAG] 
entryngge 1: [1 VAG] 
envirounyge 1: [1 VAG] 
envirounynge 1: [1 VAG] 
envyronynge 1: [1 VAG] 
ernand 2: [2 VAG] 
erninde 1: [1 VAG] 
errynge 1: [1 VAG] 
etand 2: [2 VAG] 
etinge 1: [1 VAG] 
etyng 1: [1 VAG] 
euell-lyuyng 1: [1 ADV+VAG] 
euer-lastynge 1: [1 ADV+VAG] 
euere-durynge 1: [1 ADV+VAG] 
euere-lastyng 2: [2 ADV+VAG] 
euere-lastyngge 4: [4 ADV+VAG] 
euere-wellyngge 1: [1 ADV+VAG] 
euerelastynge 2: [1 VAG] [1 ADV+VAG] 
euerelestyng 1: [1 ADV+VAG] 
euerelestynge 2: [2 ADV+VAG] 
euerlastand 6: [5 ADV+VAG] [1 VAG] 
euerlastande 1: [1 ADV+VAG] 
euerlastend 1: [1 ADV+VAG] 
euerlasting 3: [3 ADV+VAG] 
euerlastinge 1: [1 ADV+VAG] 
euerlastyng Euerlastyng 12: [12 ADV+VAG] 
euerlastynge 21: [21 ADV+VAG] 
euerlastyngge 4: [3 ADV+VAG] [1 VAG] 
euerlestyng 2: [2 ADV+VAG] 
eurelestinde 14: [14 ADV+VAG] 
eurelestynde 3: [2 ADV+VAG] [1 VAG] 
euyr-lestyng 4: [4 ADV+VAG] 
euyrlasting 1: [1 ADV+VAG] 
euyrlastyng 1: [1 VAG] 
euyrlesting 1: [1 VAG] 
euyrlestyng 2: [2 ADV+VAG] 
everelastynge 1: [1 VAG] 
everlastinge 1: [1 ADV+VAG] 
everlastynge 1: [1 ADV+VAG] 
excedynge 2: [2 VAG] 
excusyng 1: [1 VAG] 
executynge 1: [1 VAG] 
exhorting 1: [1 VAG] 
exhortynge 1: [1 VAG] 
expleyntyng 1: [1 VAG] 
expounnynge 1: [1 VAG] 
expounyng 1: [1 VAG] 
expressyng 1: [1 VAG] 
/*  ~F~  */
fagyng 1: [1 VAG] 
failand 1: [1 VAG] 
failland 1: [1 VAG] 
falland 3: [3 VAG] 
fallande 1: [1 VAG] 
fallinde 8: [8 VAG] 
falling 1: [1 VAG] 
fallyng 6: [6 VAG] 
fallynge 5: [5 VAG] 
falsinde 1: [1 VAG] 
farende 1: [1 VAG] 
farinde 1: [1 VAG] 
faryng 1: [1 VAG] 
farynge 1: [1 VAG] 
fastande 2: [2 VAG] 
fastinde 1: [1 VAG] 
fasting 1: [1 VAG] 
fastyng $fastyng 10: [10 VAG] 
fastynge $fastynge 4: [4 VAG] 
fawnynge 1: [1 VAG] 
fayland 1: [1 VAG] 
fayllynge 1: [1 VAG] 
faylyng 1: [1 VAG] 
fe+gtand 2: [2 VAG] 
fedynge 1: [1 VAG] 
feghtand 1: [1 VAG] 
feghtande 1: [1 VAG] 
fei+gtyng 1: [1 VAG] 
feightyng 1: [1 VAG] 
feland 2: [2 VAG] 
fellyng 1: [1 VAG] 
felyng 3: [3 VAG] 
ferynge 1: [1 VAG] 
fi+gtinge 1: [1 VAG] 
fikelinde 1: [1 VAG] 
fitand 1: [1 VAG] 
fityng 1: [1 VAG] 
flateryng 2: [2 VAG] 
flaterynge 1: [1 VAG] 
fleand 1: [1 VAG] 
fleande 1: [1 VAG] 
flecchyngge 1: [1 VAG] 
fleoinde 1: [1 VAG] 
fleonde 1: [1 VAG] 
fleoninde 1: [1 VAG] 
fleonninde 3: [3 VAG] 
fleotinde 2: [2 VAG] 
fletende 1: [1 VAG] 
fletynge 2: [2 VAG] 
fleyng 3: [3 VAG] 
fleynge 4: [4 VAG] 
flihinde 1: [1 VAG] 
flon 1: [1 VAG] 
florischyng 1: [1 VAG] 
florisshing 1: [1 VAG] 
flowen 1: [1 VAG] 
floweryng 1: [1 VAG] 
flowinde 4: [4 VAG] 
flowyng 2: [2 VAG] 
flowynge 2: [2 VAG] 
flying 1: [1 VAG] 
flytand 1: [1 VAG] 
foldynge 1: [1 VAG] 
folewyng 2: [2 VAG] 
